Início,Término,Bacia,Ativo,Operador,Ambiente,Lâmina d'água,Código (ANP),Objetivo,Sonda,Info
1922-01-01,1922-06-30,Camamu,Brasil,ND,TERRA,0,2SGMB33BA,exploração,ND,N.D.
1925-01-01,1925-12-30,Camamu,Brasil,ND,TERRA,0,2SGMB48BA,exploração,ND,N.D.
1937-11-15,1938-03-01,Recôncavo,Brasil,ND,TERRA,0,2SFPM153ABA,exploração,ND,N.D.
1937-07-17,1937-09-01,Recôncavo,Brasil,ND,TERRA,0,2SFPM153BA,exploração,ND,N.D.
1938-07-01,1939-01-23,Recôncavo,Brasil,ND,TERRA,0,2SFPM163BA,exploração,ND,N.D.
1939-11-01,1940-07-29,Alagoas,Brasil,ND,TERRA,0,2AL1AL,exploração,SONDA CONVENCIONAL 4,Sonda Deslocada
1939-09-30,1940-11-20,Recôncavo,,ND,TERRA,0.0,1L1BA,exploração,ND,N.D.
1939-10-28,1940-03-19,Recôncavo,,ND,TERRA,0.0,1L2BA,exploração,ND,N.D.
1939-11-16,1939-12-23,Recôncavo,,ND,TERRA,0.0,1L3BA,exploração,SONDA CONVENCIONAL 2,Sonda Deslocada
1940-09-24,1941-08-02,Alagoas,Brasil,ND,TERRA,0,1AL2AL,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1940-09-07,1941-06-02,Recôncavo,,ND,TERRA,0.0,1L8BA,exploração,ND,N.D.
1940-05-17,1940-08-10,Recôncavo,,ND,TERRA,0.0,3L5BA,exploração,ND,N.D.
1940-12-20,1942-04-15,Recôncavo,,ND,TERRA,0.0,7L10BA,produção,SONDA CONVENCIONAL 4,Sonda Deslocada
1940-02-10,1940-05-20,Recôncavo,,ND,TERRA,0.0,7L4BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1940-05-25,1940-07-08,Recôncavo,,ND,TERRA,0.0,7L6BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1940-08-12,1940-09-04,Recôncavo,,ND,TERRA,0.0,7L7BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1940-10-03,1941-03-03,Recôncavo,,ND,TERRA,0.0,7L9BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1941-08-26,1942-02-14,Alagoas,Brasil,ND,TERRA,0,1AL2AAL,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1941-02-26,1941-05-13,Alagoas,Brasil,ND,TERRA,0,1AL3AL,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1941-08-21,1942-03-03,Alagoas,Brasil,ND,TERRA,0.0,1AL5AL,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1941-08-28,1942-02-15,Recôncavo,,Petrobras,TERRA,0,1A1BA,exploração,ND,N.D.
1941-04-02,2008-09-15,Recôncavo,,Petrobras,TERRA,0,1C1BA,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1941-11-03,1942-02-25,Recôncavo,,Petrobras,TERRA,0,1I1BA,exploração,SONDA CONVENCIONAL 4,Sonda Deslocada
1941-03-09,1941-05-30,Recôncavo,,ND,TERRA,0.0,3L11BA,exploração,SONDA CONVENCIONAL 4,Sonda Deslocada
1941-04-10,1941-07-02,Recôncavo,,ND,TERRA,0.0,7L12BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1941-09-29,1941-11-25,Recôncavo,,ND,TERRA,0.0,7L13BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1942-04-12,1942-11-12,Alagoas,Brasil,ND,TERRA,0,1AL4AL,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1942-03-21,1942-11-05,Alagoas,Brasil,ND,TERRA,0,1AL6AL,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1942-01-05,1942-03-10,Camamu,Brasil,ND,TERRA,0,2SOL1BA,exploração,SONDA CONVENCIONAL 55,Sonda Deslocada
1942-04-02,1942-04-29,Recôncavo,,Petrobras,TERRA,0,7A2BA,produção,ND,N.D.
1942-05-08,1942-07-11,Recôncavo,,Petrobras,TERRA,0,7A3BA,produção,ND,N.D.
1942-06-15,1942-12-07,Recôncavo,,Petrobras,TERRA,0,7A4BA,produção,ND,N.D.
1942-09-18,1942-11-18,Recôncavo,,Petrobras,TERRA,0,7A5BA,produção,ND,N.D.
1942-11-02,1942-12-11,Recôncavo,,Petrobras,TERRA,0,7A6BA,produção,ND,N.D.
1942-12-14,1943-02-04,Recôncavo,,Petrobras,TERRA,0,7A7BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1942-12-25,1944-12-12,Recôncavo,,Petrobras,TERRA,0,7A8BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1942-10-12,1943-01-18,Recôncavo,Brasil,ND,TERRA,0,1AL1BA,exploração,ND,N.D.
1942-01-19,1942-03-16,Recôncavo,,Petrobras,TERRA,0,7C2BA,produção,SONDA CONVENCIONAL 3,Sonda Deslocada
1942-04-16,1942-06-13,Recôncavo,,Petrobras,TERRA,0,7C3BA,produção,SONDA CONVENCIONAL 3,Sonda Deslocada
1942-08-19,1942-11-17,Recôncavo,,Petrobras,TERRA,0,7C4BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1942-05-05,1942-07-21,Recôncavo,,Petrobras,TERRA,0,1I2BA,exploração,SONDA CONVENCIONAL 4,Sonda Deslocada
1942-10-20,1942-11-28,Recôncavo,,Petrobras,TERRA,0,3I3BA,exploração,SONDA CONVENCIONAL 4,Sonda Deslocada
1942-01-06,1942-04-04,Recôncavo,,ND,TERRA,0.0,7L14BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1942-02-22,1942-03-24,Recôncavo,,ND,TERRA,0.0,7L15BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1942-04-19,1942-07-02,Recôncavo,,ND,TERRA,0.0,7L16BA,produção,SONDA CONVENCIONAL 6,Sonda Deslocada
1942-04-25,1942-06-28,Recôncavo,,ND,TERRA,0.0,7L17BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1942-01-01,1947-05-01,Sergipe,Brasil,ND,TERRA,0,1IT3SE,exploração,ND,N.D.
1942-01-01,1947-07-01,Sergipe,Brasil,ND,TERRA,0,1IT4SE,exploração,ND,N.D.
1942-01-01,1946-03-10,Sergipe,Brasil,ND,TERRA,0,9IB3SE,exploração,ND,N.D.
1943-01-06,1943-05-10,Camamu,Brasil,ND,TERRA,0,2SOL2BA,exploração,SONDA CONVENCIONAL 2,Sonda Deslocada
1943-04-12,1943-07-18,Recôncavo,,Petrobras,TERRA,0,3A10BA,exploração,SONDA CONVENCIONAL 5,Sonda Deslocada
1943-02-03,1943-04-17,Recôncavo,,Petrobras,TERRA,0,3A9BA,exploração,SONDA CONVENCIONAL 7,Sonda Deslocada
1943-08-29,1943-11-29,Recôncavo,,Petrobras,TERRA,0,7A11BA,produção,ND,N.D.
1943-04-03,1944-03-31,Recôncavo,Brasil,ND,TERRA,0,1M1BA,exploração,ND,N.D.
1943-01-04,1943-03-25,Recôncavo,,Petrobras,TERRA,0,7C5BA,produção,SONDA CONVENCIONAL 27,Sonda Deslocada
1943-04-29,1943-08-12,Recôncavo,,Petrobras,TERRA,0,7C6BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1943-11-15,1944-02-22,Recôncavo,,Petrobras,TERRA,0,7C7BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1943-01-05,1943-02-25,Recôncavo,,Petrobras,TERRA,0,3I4BA,exploração,SONDA CONVENCIONAL 4,Sonda Deslocada
1943-03-10,1943-05-01,Recôncavo,,Petrobras,TERRA,0,3I5BA,exploração,SONDA CONVENCIONAL 8,Sonda Deslocada
1943-12-28,1944-03-03,Recôncavo,,Petrobras,TERRA,0,3I9BA,exploração,SONDA CONVENCIONAL 4,Sonda Deslocada
1943-05-30,1961-07-16,Recôncavo,,Petrobras,TERRA,0,7I6BA,produção,SONDA CONVENCIONAL 4,Sonda Deslocada
1943-09-09,1943-10-22,Recôncavo,,Petrobras,TERRA,0,7I7BA,produção,SONDA CONVENCIONAL 4,Sonda Deslocada
1943-10-06,1943-11-19,Recôncavo,,Petrobras,TERRA,0,7I8BA,produção,SONDA CONVENCIONAL 8,Sonda Deslocada
1944-01-17,1944-04-11,Recôncavo,,Petrobras,TERRA,0,3A12BA,exploração,SONDA CONVENCIONAL 2,Sonda Deslocada
1944-07-09,1944-10-02,Recôncavo,,Petrobras,TERRA,0,7A13BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1944-10-21,1945-02-13,Recôncavo,Brasil,ND,TERRA,0,1MA1BA,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1944-07-24,1944-10-15,Recôncavo,,Petrobras,TERRA,0,7C10BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1944-10-17,1944-11-29,Recôncavo,,Petrobras,TERRA,0,7C11BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1944-12-01,1945-03-03,Recôncavo,,Petrobras,TERRA,0,7C12BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1944-01-29,1944-03-31,Recôncavo,,Petrobras,TERRA,0,7C8BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1944-04-01,1944-05-27,Recôncavo,,Petrobras,TERRA,0,7C9BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1944-10-14,1945-02-06,Recôncavo,,Petrobras,TERRA,0,1CA1BA,exploração,ND,N.D.
1944-01-15,1944-02-27,Recôncavo,,Petrobras,TERRA,0,7I10BA,produção,SONDA CONVENCIONAL 4,Sonda Deslocada
1944-03-13,1944-04-24,Recôncavo,,Petrobras,TERRA,0,7I11BA,produção,SONDA CONVENCIONAL 4,Sonda Deslocada
1944-03-26,1944-07-15,Recôncavo,,Petrobras,TERRA,0,7I12BA,produção,SONDA CONVENCIONAL 8,Sonda Deslocada
1944-09-08,1944-10-12,Recôncavo,,Petrobras,TERRA,0,7I13BA,produção,SONDA CONVENCIONAL 8,Sonda Deslocada
1944-11-26,1945-01-07,Recôncavo,,Petrobras,TERRA,0,7I14BA,produção,SONDA CONVENCIONAL 8,Sonda Deslocada
1944-04-18,1944-05-21,Tucano Sul,Brasil,ND,TERRA,0,2CIST1BA,exploração,ND,N.D.
1944-06-02,1944-06-20,Tucano Sul,Brasil,ND,TERRA,0,2CIST2BA,exploração,ND,N.D.
1944-07-04,1944-07-27,Tucano Sul,Brasil,ND,TERRA,0,2SO1BA,exploração,ND,N.D.
1945-12-28,1946-04-12,Recôncavo,Brasil,ND,TERRA,0,1SL1BA,exploração,SONDA CONVENCIONAL 4,Sonda Deslocada
1945-03-09,1945-05-23,Recôncavo,,Petrobras,TERRA,0,3C14BA,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1945-03-29,1945-07-02,Recôncavo,,Petrobras,TERRA,0,3C16BA,exploração,SONDA CONVENCIONAL 5,Sonda Deslocada
1945-01-09,1945-03-17,Recôncavo,,Petrobras,TERRA,0,7C13BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1945-07-01,1945-08-31,Recôncavo,,Petrobras,TERRA,0,7C17BA,produção,SONDA CONVENCIONAL 3,Sonda Deslocada
1945-08-08,1945-10-18,Recôncavo,,Petrobras,TERRA,0,7C19BA,produção,SONDA CONVENCIONAL 3,Sonda Deslocada
1945-12-14,1946-01-24,Recôncavo,,Petrobras,TERRA,0,7C20BA,produção,ND,N.D.
1945-12-18,1946-03-01,Recôncavo,,Petrobras,TERRA,0,7C21BA,produção,SONDA CONVENCIONAL 3,Sonda Deslocada
1945-01-28,1945-02-22,Recôncavo,,Petrobras,TERRA,0,7I15BA,produção,SONDA CONVENCIONAL 8,Sonda Deslocada
1945-03-16,1945-04-11,Recôncavo,,Petrobras,TERRA,0,7I16BA,produção,SONDA CONVENCIONAL 8,Sonda Deslocada
1945-04-25,1945-05-21,Recôncavo,,Petrobras,TERRA,0,7I17BA,produção,SONDA CONVENCIONAL 8,Sonda Deslocada
1945-06-05,1945-07-12,Recôncavo,,Petrobras,TERRA,0,7I18BA,produção,SONDA CONVENCIONAL 8,Sonda Deslocada
1945-08-09,1945-09-08,Recôncavo,,Petrobras,TERRA,0,7I19BA,produção,SONDA CONVENCIONAL 8,Sonda Deslocada
1945-09-25,1945-10-25,Recôncavo,,Petrobras,TERRA,0,7I20BA,produção,SONDA CONVENCIONAL 8,Sonda Deslocada
1945-12-28,1946-01-22,Recôncavo,,Petrobras,TERRA,0,7I21BA,produção,SONDA CONVENCIONAL 8,Sonda Deslocada
1945-04-25,1945-12-15,Recôncavo,P,Alcom,TERRA,0.0,1P1BA,exploração,ND,N.D.
1946-10-19,1947-02-25,Recôncavo,Brasil,ND,TERRA,0,1F1BA,exploração,SONDA CONVENCIONAL 5,Sonda Deslocada
1946-06-09,1946-11-06,Recôncavo,,Petrobras,TERRA,0,7C15BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1946-03-25,1946-05-07,Recôncavo,,Petrobras,TERRA,0,7C22BA,produção,SONDA CONVENCIONAL 3,Sonda Deslocada
1946-02-20,1946-05-07,Recôncavo,,Petrobras,TERRA,0,7C24BA,produção,ND,N.D.
1946-06-17,1946-07-22,Recôncavo,,Petrobras,TERRA,0,7C25BA,produção,SONDA CONVENCIONAL 3,Sonda Deslocada
1946-08-15,1946-09-05,Recôncavo,,Petrobras,TERRA,0,7C26BA,produção,SONDA CONVENCIONAL 3,Sonda Deslocada
1946-11-04,1946-11-30,Recôncavo,,Petrobras,TERRA,0,7C27BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1946-09-19,1946-10-01,Recôncavo,,Petrobras,TERRA,0,7C28BA,produção,SONDA CONVENCIONAL 3,Sonda Deslocada
1946-12-10,1947-01-10,Recôncavo,,Petrobras,TERRA,0,7C29BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1946-10-12,1946-11-01,Recôncavo,,Petrobras,TERRA,0,7C34BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1946-12-23,1947-02-06,Recôncavo,,Petrobras,TERRA,0,7C35BA,produção,ND,N.D.
1946-11-11,1946-11-26,Recôncavo,,Petrobras,TERRA,0,7C37BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1946-12-06,1947-01-01,Recôncavo,,Petrobras,TERRA,0,7C38BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1946-02-15,1946-03-15,Recôncavo,,Petrobras,TERRA,0,7I23BA,produção,SONDA CONVENCIONAL 8,Sonda Deslocada
1946-04-05,1946-04-29,Recôncavo,,Petrobras,TERRA,0,7I24BA,produção,SONDA CONVENCIONAL 8,Sonda Deslocada
1946-06-10,1946-07-18,Recôncavo,,Petrobras,TERRA,0,7I25BA,produção,SONDA CONVENCIONAL 8,Sonda Deslocada
1946-08-19,1946-09-07,Recôncavo,,Petrobras,TERRA,0,7I26BA,produção,SONDA CONVENCIONAL 8,Sonda Deslocada
1946-11-17,1946-12-18,Recôncavo,,Petrobras,TERRA,0,7I27BA,produção,SONDA CONVENCIONAL 6,Sonda Deslocada
1946-01-10,1946-08-26,Recôncavo,,Newo,TERRA,0.0,7I22BA,produção,ND,N.D.
1946-08-08,1946-08-25,Recôncavo,,Petrobras,TERRA,0.0,2PST3BA,exploração,ND,N.D.
1946-09-25,1946-10-21,Recôncavo,,Petrobras,TERRA,0.0,2PST4BA,exploração,ND,N.D.
1946-03-19,1946-05-25,Recôncavo,P,Alcom,TERRA,0.0,1P2BA,exploração,ND,N.D.
1946-10-14,1947-01-17,Recôncavo,P,Alcom,TERRA,0.0,1P3BA,exploração,ND,N.D.
1946-05-17,1946-06-14,Recôncavo,P,Alcom,TERRA,0.0,2PST1BA,exploração,ND,N.D.
1946-06-29,1946-07-18,Recôncavo,P,Alcom,TERRA,0.0,2PST2BA,exploração,ND,N.D.
1946-11-04,1946-11-24,Recôncavo,,Petrobras,TERRA,0.0,2PST5BA,exploração,ND,N.D.
1946-03-13,1946-04-16,Sergipe,Brasil,ND,TERRA,0,9IB1SE,exploração,ND,N.D.
1946-09-19,1946-10-05,Sergipe,Brasil,ND,TERRA,0,9IB2SE,exploração,ND,N.D.
1946-01-01,1946-01-29,Sergipe,Brasil,ND,TERRA,0,9IB4SE,exploração,ND,N.D.
1946-01-01,1946-01-30,Sergipe,Brasil,ND,TERRA,0,9IB5SE,exploração,ND,N.D.
1947-09-23,1948-12-01,Recôncavo,,Petrobras,TERRA,0,1AT1BA,exploração,SONDA CONVENCIONAL 7,Sonda Deslocada
1947-04-27,1947-05-16,Recôncavo,,Petrobras,TERRA,0,7C18BA,produção,ND,N.D.
1947-06-03,1947-06-18,Recôncavo,,Petrobras,TERRA,0,7C30BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1947-07-09,1947-08-01,Recôncavo,,Petrobras,TERRA,0,7C31BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1947-02-27,1947-04-17,Recôncavo,,Petrobras,TERRA,0,7C36BA,produção,ND,N.D.
1947-01-11,1947-01-31,Recôncavo,,Petrobras,TERRA,0,7C39BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1947-01-25,1947-02-27,Recôncavo,,Petrobras,TERRA,0,7C40BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1947-03-14,1947-04-12,Recôncavo,,Petrobras,TERRA,0,7C41BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1947-02-13,1947-03-02,Recôncavo,,Petrobras,TERRA,0,7C42BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1947-03-15,1947-04-10,Recôncavo,,Petrobras,TERRA,0,7C43BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1947-05-02,1947-05-23,Recôncavo,,Petrobras,TERRA,0,7C44BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1947-12-24,1948-01-17,Recôncavo,,Petrobras,TERRA,0,7C45BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1947-06-22,1947-07-14,Recôncavo,,Petrobras,TERRA,0,7C46BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1947-08-11,1947-09-20,Recôncavo,,Petrobras,TERRA,0,7C47BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1947-10-08,1947-11-22,Recôncavo,,Petrobras,TERRA,0,7C48BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1947-05-29,1947-07-01,Recôncavo,,Petrobras,TERRA,0,7C49BA,produção,ND,N.D.
1947-08-12,1947-10-10,Recôncavo,,Petrobras,TERRA,0,7C50BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1947-11-21,1948-01-15,Recôncavo,,Petrobras,TERRA,0,7C51BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1947-03-19,1947-03-31,Recôncavo,,Petrobras,TERRA,0,1DJ1BA,exploração,SONDA CONVENCIONAL 6,Sonda Deslocada
1947-05-31,1947-06-22,Recôncavo,,Petrobras,TERRA,0,7DJ2BA,produção,SONDA CONVENCIONAL 6,Sonda Deslocada
1947-08-12,1947-08-27,Recôncavo,,Petrobras,TERRA,0,7DJ3BA,produção,SONDA CONVENCIONAL 6,Sonda Deslocada
1947-09-27,1947-10-15,Recôncavo,,Petrobras,TERRA,0,7DJ4BA,produção,SONDA CONVENCIONAL 6,Sonda Deslocada
1947-11-08,1947-12-17,Recôncavo,,Petrobras,TERRA,0,7DJ5BA,produção,SONDA CONVENCIONAL 6,Sonda Deslocada
1947-01-05,1947-01-25,Recôncavo,,Petrobras,TERRA,0.0,2PST6BA,exploração,ND,N.D.
1947-02-11,1947-03-25,Recôncavo,,Petrobras,TERRA,0.0,2PST7ABA,exploração,ND,N.D.
1947-02-04,1947-02-24,Recôncavo,,Petrobras,TERRA,0.0,2PST7BA,exploração,ND,N.D.
1947-04-01,1947-04-14,Recôncavo,,Petrobras,TERRA,0.0,2PST8BA,exploração,ND,N.D.
1947-04-26,1947-05-31,Recôncavo,,Petrobras,TERRA,0.0,2PST9BA,exploração,ND,N.D.
1947-07-08,1947-12-25,Recôncavo,,ND,TERRA,0.0,1P4BA,exploração,ND,N.D.
1947-01-01,1947-03-18,Sergipe,Brasil,ND,TERRA,0,1IT2SE,exploração,ND,N.D.
1947-06-23,1947-10-23,Sergipe,Brasil,ND,TERRA,0,1IT6SE,exploração,ND,N.D.
1947-01-01,1947-03-30,Sergipe,Brasil,ND,TERRA,0,2IT1SE,exploração,ND,N.D.
1947-01-01,1947-12-31,Sergipe,Brasil,ND,TERRA,0,2IT5SE,exploração,ND,N.D.
1948-06-14,1949-03-28,Recôncavo,Brasil,ND,TERRA,0,1RT1BA,exploração,ND,N.D.
1948-02-04,1948-03-17,Recôncavo,,Petrobras,TERRA,0,7C32BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1948-09-25,1948-11-03,Recôncavo,,Petrobras,TERRA,0,7C33BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1948-02-20,1948-03-16,Recôncavo,,Petrobras,TERRA,0,7C52BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1948-05-04,1948-06-12,Recôncavo,,Petrobras,TERRA,0,7C53BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1948-04-10,1948-05-11,Recôncavo,,Petrobras,TERRA,0,7C54BA,produção,ND,N.D.
1948-07-09,1948-08-24,Recôncavo,,Petrobras,TERRA,0,7C55BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1948-07-01,1948-07-30,Recôncavo,,Petrobras,TERRA,0,7C56BA,produção,ND,N.D.
1948-11-22,1949-04-03,Recôncavo,,Petrobras,TERRA,0,7C57BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1948-12-21,1949-01-23,Recôncavo,,Petrobras,TERRA,0,7C58BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1948-10-10,1948-10-30,Recôncavo,,Petrobras,TERRA,0.0,7DJ10BA,produção,SONDA CONVENCIONAL 6,Sonda Deslocada
1948-12-03,1948-12-21,Recôncavo,,Petrobras,TERRA,0,7DJ12BA,produção,SONDA CONVENCIONAL 6,Sonda Deslocada
1948-01-08,1948-01-29,Recôncavo,,Petrobras,TERRA,0,7DJ6BA,produção,SONDA CONVENCIONAL 6,Sonda Deslocada
1948-04-22,1948-05-16,Recôncavo,,Petrobras,TERRA,0,7DJ7BA,produção,SONDA CONVENCIONAL 6,Sonda Deslocada
1948-06-04,1948-07-01,Recôncavo,,Petrobras,TERRA,0,7DJ8BA,produção,SONDA CONVENCIONAL 6,Sonda Deslocada
1948-08-17,1948-08-25,Recôncavo,,Petrobras,TERRA,0,7DJ9BA,produção,SONDA CONVENCIONAL 6,Sonda Deslocada
1948-04-19,1949-01-17,Tucano Central,Brasil,ND,TERRA,0,1MC1BA,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1949-07-17,1949-12-30,Recôncavo,Brasil,ND,TERRA,0,1PB1BA,exploração,SONDA CONVENCIONAL 7,Sonda Deslocada
1949-07-25,1949-08-30,Recôncavo,Brasil,ND,TERRA,0,1RT2BA,exploração,ND,N.D.
1949-09-25,1949-10-22,Recôncavo,Brasil,ND,TERRA,0,1RT3BA,exploração,SONDA CONVENCIONAL 4,Sonda Deslocada
1949-02-19,1949-05-06,Recôncavo,Brasil,ND,TERRA,0,2AST1BA,exploração,ND,N.D.
1949-05-29,1949-06-26,Recôncavo,Brasil,ND,TERRA,0,2AST2BA,exploração,ND,N.D.
1949-04-05,1949-04-20,Recôncavo,Brasil,ND,TERRA,0,2SST1BA,exploração,ND,N.D.
1949-04-28,1949-04-29,Recôncavo,Brasil,ND,TERRA,0,2SST2BA,exploração,ND,N.D.
1949-05-06,1949-06-16,Recôncavo,Brasil,ND,TERRA,0,2SST3BA,exploração,ND,N.D.
1949-02-11,1949-04-05,Recôncavo,,Petrobras,TERRA,0,7C59BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1949-05-02,1949-07-30,Recôncavo,,Petrobras,TERRA,0,7C60BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1949-07-04,1949-09-14,Recôncavo,,Petrobras,TERRA,0,7C61BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1949-08-11,1949-09-29,Recôncavo,,Petrobras,TERRA,0,7C62BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1949-10-14,1949-12-16,Recôncavo,,Petrobras,TERRA,0,7C63BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1949-10-24,1949-12-01,Recôncavo,,Petrobras,TERRA,0,7C64BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1949-11-23,1949-12-29,Recôncavo,,Petrobras,TERRA,0,7C65BA,produção,SONDA CONVENCIONAL 4,Sonda Deslocada
1949-12-22,1950-02-08,Recôncavo,,Petrobras,TERRA,0,7C67BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1949-12-21,1950-01-17,Recôncavo,,Petrobras,TERRA,0,3DJ11BA,exploração,SONDA CONVENCIONAL 8,Sonda Deslocada
1949-12-30,1950-01-20,Recôncavo,,Petrobras,TERRA,0,3DJ15BA,exploração,ND,N.D.
1949-02-03,1949-02-21,Recôncavo,,Petrobras,TERRA,0,7DJ13BA,produção,SONDA CONVENCIONAL 6,Sonda Deslocada
1949-06-21,1949-07-26,Recôncavo,,Petrobras,TERRA,0,7DJ14BA,produção,SONDA CONVENCIONAL 6,Sonda Deslocada
1949-03-02,1950-09-15,Recôncavo,,Petrobras,TERRA,0,7DJ16BA,produção,ND,N.D.
1949-09-11,1949-10-02,Recôncavo,,Petrobras,TERRA,0,7DJ19BA,produção,ND,N.D.
1949-10-29,1949-12-03,Recôncavo,,Petrobras,TERRA,0,7DJ20BA,produção,ND,N.D.
1949-04-21,1949-06-18,Sergipe,Brasil,ND,TERRA,0,1IT7SE,exploração,ND,N.D.
1949-10-19,1950-03-09,Tucano Norte,Brasil,ND,TERRA,0,1PR1BA,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1950-07-18,1951-04-14,Marajó,Brasil,ND,TERRA,0,1LM1PA,exploração,SONDA CONVENCIONAL 14,Sonda Deslocada
1950-09-15,1951-01-28,Recôncavo,,Petrobras,TERRA,0,1AG1BA,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1950-02-22,1950-03-24,Recôncavo,Brasil,ND,TERRA,0,2TST1BA,exploração,ND,N.D.
1950-02-09,1950-03-17,Recôncavo,,Petrobras,TERRA,0,7C66BA,produção,ND,N.D.
1950-02-27,1950-04-16,Recôncavo,,Petrobras,TERRA,0,7C68BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1950-05-03,1950-06-01,Recôncavo,,Petrobras,TERRA,0,7C69BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1950-02-16,1950-04-08,Recôncavo,,Petrobras,TERRA,0,7C70BA,produção,SONDA CONVENCIONAL 4,Sonda Deslocada
1950-04-19,1950-07-03,Recôncavo,,Petrobras,TERRA,0,7C71BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1950-04-29,1950-06-18,Recôncavo,,Petrobras,TERRA,0,7C72BA,produção,SONDA CONVENCIONAL 4,Sonda Deslocada
1950-11-15,1951-01-18,Recôncavo,,Petrobras,TERRA,0,7C74BA,produção,ND,N.D.
1950-07-31,1950-10-22,Recôncavo,,Petrobras,TERRA,0,7C75BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1950-06-24,1950-10-04,Recôncavo,,Petrobras,TERRA,0,7C76BA,produção,ND,N.D.
1950-07-14,1950-08-17,Recôncavo,,Petrobras,TERRA,0,7C77BA,produção,SONDA CONVENCIONAL 4,Sonda Deslocada
