Início,Término,Bacia,Ativo,Operador,Ambiente,Lâmina d'água,Código (ANP),Objetivo,Sonda,Info
1983-01-31,1983-02-16,Recôncavo,,Nova Petróleo,TERRA,0,7FSE19BA,produção,SONDA CONVENCIONAL 79,Sonda Deslocada
1983-02-24,1983-03-12,Recôncavo,,Nova Petróleo,TERRA,0,7FSE20BA,produção,SONDA CONVENCIONAL 79,Sonda Deslocada
1983-03-24,1983-04-08,Recôncavo,,Nova Petróleo,TERRA,0,7FSE21BA,produção,SONDA CONVENCIONAL 79,Sonda Deslocada
1983-09-24,1983-10-10,Recôncavo,,Nova Petróleo,TERRA,0,7FSE22BA,produção,SONDA CONVENCIONAL 79,Sonda Deslocada
1983-10-20,1983-11-02,Recôncavo,,Nova Petróleo,TERRA,0,7FSE23BA,produção,SONDA CONVENCIONAL 79,Sonda Deslocada
1983-12-30,1984-01-17,Recôncavo,FSP,Alcom,TERRA,0,1FSP1BA,exploração,SONDA CONVENCIONAL 78,Sonda Deslocada
1983-03-22,1983-03-30,Recôncavo,,Petrobras,TERRA,0,8GO19BA,produção,SONDA CONVENCIONAL 27,Sonda Deslocada
1983-06-17,1983-06-28,Recôncavo,,Petrobras,TERRA,0,7I58DBA,produção,ND,N.D.
1983-07-05,1983-07-13,Recôncavo,,Petrobras,TERRA,0,7I59BA,produção,ND,N.D.
1983-07-18,1983-07-24,Recôncavo,,Petrobras,TERRA,0,7I60BA,produção,ND,N.D.
1983-07-29,1983-08-04,Recôncavo,,Petrobras,TERRA,0,7I61BA,produção,ND,N.D.
1983-08-14,1983-09-13,Recôncavo,,Petrobras,MAR,0,7I62DBA,produção,ND,N.D.
1983-10-08,1983-10-21,Recôncavo,,Petrobras,MAR,0,7I63DBA,produção,ND,N.D.
1983-11-01,1983-11-09,Recôncavo,,Petrobras,MAR,0,7I64DBA,produção,ND,N.D.
1983-11-16,1983-12-24,Recôncavo,,Petrobras,MAR,0,7I65DBA,produção,ND,N.D.
1983-05-25,1983-06-11,Recôncavo,,Newo,TERRA,0,7I57BA,produção,ND,N.D.
1983-03-16,1983-05-19,Recôncavo,,Petrobras,TERRA,0,3MDU5BA,exploração,ND,N.D.
1983-02-12,1983-05-27,Recôncavo,,Petrobras,TERRA,0,7MG324ABA,produção,ND,N.D.
1983-03-23,1983-04-01,Recôncavo,,Petrobras,TERRA,0,7MG331BA,produção,SONDA CONVENCIONAL 95,Sonda Deslocada
1983-04-08,1983-04-16,Recôncavo,,Petrobras,TERRA,0,7MG332BA,produção,SONDA CONVENCIONAL 95,Sonda Deslocada
1983-04-23,1983-05-01,Recôncavo,,Petrobras,TERRA,0,7MG333BA,produção,SONDA CONVENCIONAL 95,Sonda Deslocada
1983-05-11,1983-05-19,Recôncavo,,Petrobras,TERRA,0,7MG334BA,produção,SONDA CONVENCIONAL 95,Sonda Deslocada
1983-05-24,1983-06-01,Recôncavo,,Petrobras,TERRA,0,7MG335BA,produção,SONDA CONVENCIONAL 95,Sonda Deslocada
1983-12-08,1983-12-17,Recôncavo,,Petrobras,TERRA,0,7MG336BA,produção,SONDA CONVENCIONAL 95,Sonda Deslocada
1983-12-23,1983-12-29,Recôncavo,,Petrobras,TERRA,0,7MG337BA,produção,SONDA CONVENCIONAL 95,Sonda Deslocada
1983-03-11,1983-05-27,Recôncavo,,Petrobras,TERRA,0,9MG330BA,N.D.,ND,N.D.
1983-02-25,1983-03-29,Recôncavo,,Petrobras,TERRA,0,7MGN18BA,produção,ND,N.D.
1983-06-20,1983-07-06,Recôncavo,,Petrobras,TERRA,0,1RJC1BA,exploração,SONDA CONVENCIONAL 79,Sonda Deslocada
1983-01-20,1983-01-29,Recôncavo,,Petrobras,TERRA,0,7MJ69BA,produção,SONDA CONVENCIONAL 43,Sonda Deslocada
1983-07-03,1983-07-12,Recôncavo,,Petrobras,TERRA,0,7MJ70BA,produção,SONDA CONVENCIONAL 43,Sonda Deslocada
1983-07-26,1983-08-05,Recôncavo,,Petrobras,TERRA,0,7MJ71BA,produção,SONDA CONVENCIONAL 43,Sonda Deslocada
1983-06-06,1983-06-19,Recôncavo,,Petrobras,TERRA,0,1MLL1BA,exploração,SONDA CONVENCIONAL 34,Sonda Deslocada
1983-03-28,1983-04-06,Recôncavo,,Petrobras,TERRA,0,7ML32BA,produção,SONDA CONVENCIONAL 34,Sonda Deslocada
1983-04-14,1983-04-20,Recôncavo,,Petrobras,TERRA,0,7ML33BA,produção,SONDA CONVENCIONAL 34,Sonda Deslocada
1983-04-26,1983-05-03,Recôncavo,,Petrobras,TERRA,0,7ML34BA,produção,SONDA CONVENCIONAL 34,Sonda Deslocada
1983-05-09,1983-05-15,Recôncavo,,Petrobras,TERRA,0,7ML35BA,produção,SONDA CONVENCIONAL 34,Sonda Deslocada
1983-05-22,1983-05-31,Recôncavo,,Petrobras,TERRA,0,8ML36BA,produção,SONDA CONVENCIONAL 34,Sonda Deslocada
1983-05-28,1983-06-21,Recôncavo,,Petrobras,TERRA,0,7MP19BA,produção,SONDA CONVENCIONAL 58,Sonda Deslocada
1983-11-16,1984-01-15,Recôncavo,,Petrobras,TERRA,0,7MP20BA,produção,ND,N.D.
1983-01-04,1983-01-15,Recôncavo,,Petrobras,TERRA,0,3NFC3BA,exploração,SONDA CONVENCIONAL 77,Sonda Deslocada
1983-01-24,1983-02-02,Recôncavo,,Petrobras,TERRA,0,3NFC4BA,exploração,SONDA CONVENCIONAL 77,Sonda Deslocada
1983-05-07,1983-05-18,Recôncavo,,Petrobras,TERRA,0,7NFC5BA,produção,SONDA CONVENCIONAL 27,Sonda Deslocada
1983-05-25,1983-06-07,Recôncavo,,Petrobras,TERRA,0,7NFC6BA,produção,SONDA CONVENCIONAL 27,Sonda Deslocada
1983-05-14,1983-06-05,Recôncavo,,Petrobras,TERRA,0,7RCB15ABA,produção,ND,N.D.
1983-01-18,1983-03-02,Recôncavo,,Petrobras,TERRA,0,7RCB16BA,produção,ND,N.D.
1983-01-19,1983-02-22,Recôncavo,,Petrobras,TERRA,0,7RCB17BA,produção,ND,N.D.
1983-03-03,1983-03-25,Recôncavo,,Petrobras,TERRA,0,7RCB18BA,produção,ND,N.D.
1983-03-09,1983-04-01,Recôncavo,,Petrobras,TERRA,0,7RCB19BA,produção,ND,N.D.
1983-04-02,1983-05-09,Recôncavo,,Petrobras,TERRA,0,7RCB20BA,produção,ND,N.D.
1983-04-10,1983-05-05,Recôncavo,,Petrobras,TERRA,0,7RCB21BA,produção,ND,N.D.
1983-05-18,1983-06-19,Recôncavo,,Petrobras,TERRA,0,7RCB22BA,produção,ND,N.D.
1983-10-11,1983-11-01,Recôncavo,,Petrobras,TERRA,0,7RCB24BA,produção,ND,N.D.
1983-10-21,1983-11-15,Recôncavo,,Petrobras,TERRA,0,7RCB25BA,produção,ND,N.D.
1983-11-14,1983-12-11,Recôncavo,,Petrobras,TERRA,0,7RCB26BA,produção,ND,N.D.
1983-11-15,1983-12-08,Recôncavo,,Petrobras,TERRA,0,7RCB27BA,produção,ND,N.D.
1983-09-22,1983-10-15,Recôncavo,,Petrobras,TERRA,0,8RCB23BA,produção,ND,N.D.
1983-11-20,1983-12-23,Recôncavo,,Petrobras,TERRA,0,7RCB28BA,produção,ND,N.D.
1983-01-01,1983-01-14,Recôncavo,,Petrobras,TERRA,0,7RO68BA,produção,SONDA CONVENCIONAL 43,Sonda Deslocada
1983-02-05,1983-02-15,Recôncavo,,Petrobras,TERRA,0,7RO69BA,produção,SONDA CONVENCIONAL 43,Sonda Deslocada
1983-02-21,1983-03-03,Recôncavo,,Petrobras,TERRA,0,7RO70BA,produção,SONDA CONVENCIONAL 43,Sonda Deslocada
1983-03-09,1983-03-17,Recôncavo,,Petrobras,TERRA,0,7RO71BA,produção,SONDA CONVENCIONAL 43,Sonda Deslocada
